"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Karl Roberson","2019-01-19",0,1,0,4.666666667,3.666666667,6,5.333333333,23,10,4.333333333,3,26.66666667,13,0,2,1.666666667,1.333333333,0,33.33333333,18.33333333,0.62,0.666666667,1.333333333,1,0.553333333,63.33333333,43.66666667,1,1,3,1.333333333,1.666666667,1.333333333,38,8,1.666666667,1.333333333,31.33333333,6.333333333,0,7,3,1,0,41.33333333,10.66666667,0.446666667,0.333333333,1.333333333,0.666666667,0.22,48,16.66666667,5,468.6666667,0,0,0,1,0,1,0,2,"Southpaw",185.42,187.96,205,28,0.434782608695652,0.888888888833333,0.692307692360947,0.789473684210526,0.20000000036,0.20000000036,33.333333337,0.800000000012,0.487499999939062,0.1399999999946,0.785714285729592,0.0599999999934,0.8333333335,NA
"Karlos Vemola","2013-06-08",1,0,0,3.4,2.6,4.4,2.8,18.8,5.4,7.6,4,24.8,7.6,0,2.6,2,0.4,0.2,30.8,12.2,0.392,1.2,4.2,1,0.324,49,26.6,1,3,6.2,5.4,12.6,11,12.6,4.6,4.8,3.4,17.2,7.4,0,6.6,6.2,2.8,0,30,19,0.53,0.8,2.8,2,0.416,78.2,59.2,11,558.4,0,0,0,0,1,1,0,2,"Orthodox",182.88,190.5,185,27,0.287234042553192,0.636363636363636,0.526315789473684,0.634920634920635,0.126984126984127,0.291666666666667,30.8,0.805194805194805,0.306451612903226,0.11038961038961,0.764705882352941,0.0844155844155844,0.769230769230769,"/fighter/Karlos-Vemola-40238"
"Karo Parisyan","2010-11-20",2,0,0,2.25,1.916666667,11.41666667,5.916666667,39.33333333,13.08333333,24.08333333,12.08333333,69.91666667,26.83333333,0,2.666666667,2.333333333,3.083333333,0.166666667,74.83333333,31.08333333,0.408333333,0.833333333,7.416666667,4.416666667,0.5575,108.1666667,60.66666667,4,4,9.25,7.75,11,6.833333333,41.33333333,11.66666667,12.5,8.166666667,50.16666667,14.66666667,0.166666667,5.416666667,4.25,0.916666667,0.75,64.83333333,26.66666667,0.3875,0.583333333,3.5,1.416666667,0.365,98.91666667,58.83333333,31,745,0,0,1,5,1,1,0,8,"Orthodox",177.8,182.88,170,28,0.332627118587511,0.518248175060366,0.501730103737264,0.717741935380463,0.378787878818182,0.34666666664,74.833333337,0.93429844097872,0.383790226394098,0.0300668151432929,0.851851852,0.0356347438779867,0.874999999765625,"/fighter/Karo-Parisyan-5153"
"Karolina Kowalkiewicz","2019-06-08",2,0,0,25.22222222,17.55555556,27.55555556,20.77777778,155.7777778,49.77777778,3.777777778,3,149,46.77777778,0,12.88888889,9.222222222,0.777777778,0.111111111,187.1111111,73.55555556,0.38,0,0.777777778,0.111111111,0.055555556,211.2222222,95,3,4,26.22222222,14.66666667,20.55555556,14.11111111,133.1111111,51.66666667,1.666666667,1.555555556,110.1111111,38.22222222,0.111111111,19,14.44444444,0.555555556,0.111111111,155.3333333,67.33333333,0.414444444,0.222222222,4.777777778,0.777777778,0.271111111,170.7777778,81.88888889,25,800.1111111,1,0,2,3,0,0,0,5,"Orthodox",160.02,162.56,115,33,0.319543509241149,0.754032258023543,0.794117647012111,0.61185308842336,0.313513513715997,0.0666666665866666,187.11111111,0.796318289790952,0.313944817315436,0.134798099751394,0.696035242528285,0.0688836104576537,0.715517241300386,"/fighter/Karolina-Kowalkiewicz-101401"
"Katlyn Chookagian","2019-06-08",1,0,0,22.16666667,13.33333333,6.5,4.166666667,188.3333333,55.33333333,2.166666667,1.666666667,162.1666667,37.16666667,0.166666667,12.66666667,10.66666667,0,0,197,61.16666667,0.295,0.166666667,2.166666667,0,0,210.3333333,73.33333333,3,2,15.16666667,9,6.833333333,4.666666667,163.5,57,1.666666667,1.5,128,31.66666667,0,28.83333333,22.5,0.166666667,0,172,63.16666667,0.363333333,0,3.166666667,1.166666667,0.275,187.6666667,76.83333333,18,900,0,0,1,3,0,0,0,4,"Orthodox",175.26,172.72,125,30,0.293805309768815,0.641025641076923,0.769230769266272,0.651376146788991,0.317073170649613,0.10000000018,197.00000004,0.823181049071435,0.229188078082387,0.11252115058629,0.601503759157669,0.0642978003422745,0.842105263199446,NA
"Katsuhisa Fujii","1999-11-19",0,1,0,4,4,5,4,36,14,0,0,33,10,1,4,4,0,0,41,18,0.43,0,0,0,0,45,22,1,0,1,1,0,0,19,3,30,15,42,15,0,6,2,0,0,49,18,0.36,0,3,1,0.33,61,27,2,492,0,0,0,0,1,0,0,1,"Orthodox",182.88,187.317710247572,205,27,0.388888888888889,0.8,0,0.842105263157895,0,0.5,41,0.804878048780488,0.303030303030303,0.0975609756097561,1,0.0975609756097561,1,NA
"Katsunori Kikuno","2015-09-26",1,0,0,5,3,2.5,1.25,39.75,17.5,1.25,0.75,34.25,13.25,0,4.25,3.25,2.25,0.25,43.5,19.5,0.4075,0.25,1.25,1,0.4375,58.25,32.5,1,2,7,3,4,2.75,52.5,20.75,0.5,0.25,44.25,17,0.5,5.75,3.75,0.25,0,57,23.75,0.4775,0.25,2.75,0.25,0.125,59.75,26.5,7,408.75,0,0,0,1,0,1,0,2,"Orthodox",172.72,167.64,145,33,0.440251572327044,0.5,0.6,0.604761904761905,0.3125,0.5,43.5,0.78735632183908,0.386861313868613,0.114942528735632,0.6,0.0977011494252874,0.764705882352941,"/fighter/Katsunori-Kikuno-16806"
"Kazuhiro Nakamura","2008-05-24",1,0,0,6,5,17,12,13,3,1,0,21,6,0,4,4,1,0,31,15,0.48,0,10,2,0.2,44,27,0,1,27,26,35,32,22,17,32,21,53,36,0,9,8,9,0,89,70,0.78,1,3,2,0.66,153,134,3,900,0,0,0,0,0,0,0,0,"Orthodox",180.34,177.8,205,28,0.230769230769231,0.705882352941177,0,0.227272727272727,0.0857142857142857,0.34375,31,0.67741935483871,0.285714285714286,0.193548387096774,0.833333333333333,0.129032258064516,1,"/fighter/Kazuhiro-Nakamura-6943"
"Kazuki Tokudome","2014-09-20",2,0,0,5.666666667,4.666666667,10.66666667,6,62.66666667,22.33333333,13.33333333,7.333333333,73.33333333,24.66666667,0.333333333,7.666666667,6.333333333,2.333333333,0,86.66666667,35.66666667,0.436666667,0,4.666666667,2,0.54,167,93.33333333,1,2,12,8.666666667,25.33333333,17,73,33.66666667,13,8.666666667,91,44.66666667,1,8.333333333,6,2,0.333333333,111.3333333,59.33333333,0.516666667,0,6,1.333333333,0.466666667,142.3333333,84.33333333,9,900,0,0,0,1,0,0,0,1,"Southpaw",180.34,185.42,155,27,0.356382978651256,0.562499999824219,0.5500000001125,0.538812785342466,0.328947368332756,0.333333333307692,86.666666664,0.84615384614142,0.33636363642438,0.0653846153904734,0.823529411775087,0.0884615384681065,0.826086956442344,"/fighter/Kazuki-Tokudome-26192"
"Kazushi Sakuraba","1997-12-21",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,9,4,1,0,0,0,10,4,0,0,0,0,0,10,4,0.4,1,1,1,1,15,9,1,111,0,0,0,0,0,0,0,0,"Southpaw",182.88,187.317710247572,185,28,0,0,0,1,0.555555555555556,0,1,1,0,0,0,0,0,NA
"Keita Nakamura","2019-04-20",0,1,0,6.8,4.2,5.1,3.3,76.2,24.6,5,2.9,76.7,24.9,0.4,2.8,1.7,1.5,0.2,86.3,30.8,0.361,0.4,3.4,1.8,0.473,110.5,51,1,6,13.7,10.2,10.5,7.2,94.1,35.9,12.8,6.8,95.9,32.4,0.1,7.8,7.3,0.9,0.2,117.4,49.9,0.432,0.5,2.9,1.1,0.365,137.7,67.8,29,853.6,0,0,2,0,0,2,0,4,"Southpaw",180.34,185.42,170,34,0.322834645669291,0.647058823529412,0.58,0.618490967056323,0.314285714285714,0.46875,86.3,0.888760139049826,0.324641460234681,0.0787949015063731,0.617647058823529,0.0324449594438007,0.607142857142857,"/fighter/Keita-Nakamura-9572"
"Keith Berish","2016-12-09",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,0,0,0,4,0,0,0,0,1,0,5,0,0,3,1,1,1,7,2,1,123,0,0,0,0,0,0,0,0,"Orthodox",182.88,185.42,205,31,0,0,0,1,0,0,0,0,0,0,0,0,0,"/fighter/Keith-Berish-46314"
"Keith Hackney","1995-12-16",1,0,0,0.666666667,0.333333333,2.333333333,1.333333333,6,3,17.33333333,11,20.66666667,11,0.333333333,4.333333333,4,0.333333333,0,25.66666667,15.33333333,0.516666667,0.333333333,0,0,0,28,17.66666667,2,1,1.666666667,1,4.333333333,3,4,0.666666667,1,0.333333333,6.666666667,2.666666667,0,1,0.333333333,0.333333333,0,9.333333333,4,0.223333333,1.333333333,1.333333333,0.333333333,0.333333333,23.66666667,17.66666667,3,205,0,0,0,0,1,1,0,2,"Sideways",180.34,184.716075383022,200,29.6899842938263,0.5,0.571428571367347,0.634615384737426,0.83333333325,0.307692307639053,0.666666667,25.66666667,0.805194805220105,0.532258064430281,0.0259740259836397,0.49999999925,0.168831168796256,0.923076923147929,"/fighter/Keith-Hackney-38"
"Keith Jardine","2010-06-19",3,0,0,6.25,5.416666667,8.416666667,4.833333333,89.75,32.66666667,3.666666667,1.916666667,82.58333333,23,0.25,13,11,0,0,101.8333333,39.41666667,0.379166667,0,0.75,0.25,0.125,109.6666667,47,2,6,4.833333333,4,6.25,4.166666667,63.83333333,20.5,3.916666667,2.833333333,62.33333333,17.75,0.833333333,6.833333333,5.75,0.666666667,0,74,27.5,0.434166667,0.083333333,2.833333333,1.083333333,0.255,81.91666667,35.16666667,27,591.5,0,0,2,2,2,0,0,6,"Orthodox",187.96,193.04,185,34,0.36397400189415,0.574257425680227,0.522727272770661,0.678851174917956,0.33333333328,0.276595744827524,101.83333333,0.810965630108379,0.278506559042523,0.0613747954193576,0.86666666672,0.127659574472264,0.846153846153846,"/fighter/Keith-Jardine-2638"
"Keith Rockel","2003-11-21",1,0,0,1,1,0,0,2,2,8,4,8,4,0,1,1,4,0,10,6,0.6,2,2,2,1,25,21,0,1,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,3,1,0.33,1,1,0,0,47,44,2,374,0,0,0,0,0,0,0,0,"Orthodox",182.88,187.317710247572,185,29.6899842938263,1,0,0.5,0.666666666666667,0,0,10,0.8,0.5,0.1,1,0.1,1,"/fighter/Keith-Rockel-2093"
"Keith Wisniewski","2013-09-04",3,0,0,9.333333333,8.333333333,12.66666667,8.666666667,38.33333333,14.33333333,5.333333333,4.666666667,46.33333333,19,0,0.666666667,0.333333333,2.666666667,0.333333333,56.33333333,27.66666667,0.48,0.333333333,4.333333333,2,0.366666667,65.66666667,36,0,3,17,14.33333333,27.33333333,19,85.66666667,37.33333333,16.66666667,13.33333333,104,47.33333333,0.666666667,8.666666667,8,2.333333333,1,129.6666667,69.66666667,0.523333333,1.333333333,1,0.333333333,0.333333333,171.3333333,109,8,800,0,0,0,0,0,0,0,0,"Orthodox",182.88,190.5,170,31,0.373913043423819,0.68421052616205,0.875000000117188,0.564202334686218,0.304878048695717,0.20000000036,56.33333333,0.822485207090088,0.410071942475545,0.165680473376667,0.892857142853316,0.0118343195332446,0.49999999925,"/fighter/Keith-Wisniewski-2095"
"Kelly Faszholz","2016-10-01",1,0,0,28,21,15,9,130,67,0,0,111,50,0,6,5,0,0,145,76,0.52,0,2,0,0,167,96,0,1,18,16,16,12,112,47,43,36,141,67,0,12,12,2,0,171,95,0.55,0,3,1,0.33,272,188,3,895,0,0,0,0,0,0,0,0,"Orthodox",172.72,170.18,135,31,0.515384615384615,0.6,0,0.580357142857143,0.25,0.162790697674419,145,0.76551724137931,0.45045045045045,0.193103448275862,0.75,0.0413793103448276,0.833333333333333,"/fighter/Kelly-Faszholz-117453"
"Kelvin Gastelum","2019-04-13",0,2,0,10.92857143,8.142857143,8.428571429,5.214285714,88.71428571,35.71428571,7,4.571428571,86.78571429,31.71428571,0.642857143,6.428571429,5.642857143,1.142857143,0.357142857,104.1428571,45.5,0.457857143,0.142857143,1.285714286,0.642857143,0.225714286,122.7857143,61.57142857,5,4,14.07142857,8.642857143,8.571428571,5.5,75.5,25.85714286,3,2.428571429,67.78571429,21,0.071428571,5.214285714,4.142857143,1.214285714,0.357142857,87.07142857,33.78571429,0.382142857,0.214285714,4.428571429,1.642857143,0.258571429,101.0714286,46.07142857,35,707.4285714,1,0,3,2,3,2,0,10,"Southpaw",175.26,180.34,185,27,0.40257648950415,0.618644067731255,0.653061224428572,0.657521286622517,0.35833333330125,0.190476190333333,104.142857149,0.833333333325331,0.365432098698003,0.104938271612466,0.74509803913136,0.0617283950622026,0.877777777741481,"/fighter/Kelvin-Gastelum-74700"
"Ken Shamrock","2006-10-10",2,0,0,2.428571429,2.142857143,2.857142857,1.928571429,10.42857143,1.642857143,7.142857143,4.857142857,17.42857143,5.714285714,0.071428571,0.571428571,0.571428571,0.571428571,0,20.42857143,8.428571429,0.434285714,0.785714286,1,0.571428571,0.5,51.35714286,36.71428571,2,7,1.428571429,1.214285714,3.928571429,2.571428571,11.71428571,3.571428571,6.5,4.571428571,19.07142857,8.571428571,0,1.642857143,0.928571429,0.428571429,0.214285714,22.14285714,10.71428571,0.555714286,0.142857143,1.071428571,0.285714286,0.066428571,69.21428571,56.57142857,20,495.4285714,1,0,0,0,2,5,0,7,"Orthodox",185.42,182.88,205,42,0.157534246567461,0.67500000018375,0.6799999999664,0.695121951144557,0.345454545635041,0.296703296769231,20.42857143,0.853146853157123,0.327868852415748,0.118881118893785,0.882352941079585,0.0279720279490929,1,"/fighter/Ken-Shamrock-4"
"Ken Stone","2012-08-11",0,2,0,4.666666667,4.666666667,8.333333333,8,48,21,1.333333333,0.333333333,41.33333333,14,0,11.66666667,10.66666667,0.666666667,0,57.66666667,29.33333333,0.506666667,0.333333333,1.666666667,0.666666667,0.333333333,73.66666667,43.66666667,2,1,4.333333333,3.666666667,2,2,36.33333333,15.33333333,2,1.666666667,29,9,0,7,6.333333333,0,0,40.33333333,19,0.436666667,0,1.333333333,0.333333333,0.333333333,44,22.66666667,5,433.6666667,0,0,1,0,0,1,0,2,"Orthodox",172.72,180.34,135,29,0.4375,0.9600000000384,0.2499999998125,0.577981651429173,0,0.1666666665,57.666666667,0.7167630057184,0.33870967744667,0.0809248554966421,1,0.202312138784958,0.914285714310204,"/fighter/Ken-Stone-24913"
"Kendall Grove","2011-05-28",1,0,0,5.833333333,5,12.91666667,9.75,26,6.5,6.166666667,4,36.91666667,13.5,0.166666667,2.333333333,1.75,0.666666667,0.333333333,45.08333333,20.25,0.401666667,1.416666667,0.416666667,0.333333333,0.333333333,72.33333333,46.08333333,3,5,6.166666667,5.333333333,4.666666667,3.166666667,17.5,6.333333333,18.66666667,11.41666667,31.58333333,13,0.166666667,3.083333333,2.583333333,1.833333333,0.333333333,40.83333333,20.91666667,0.505833333,0.5,6,2.333333333,0.356666667,55.5,33.5,24,540.5833333,1,0,2,1,2,2,0,7,"Orthodox",198.12,200.66,185,28,0.25,0.754838709482622,0.648648648613587,0.638095238114286,0.321428571405612,0.388392857073501,45.083333336,0.818853974147498,0.365688487551631,0.129390018469241,0.857142857191837,0.0517560073832603,0.750000000107143,"/fighter/Kendall-Grove-10126"
"Kenichi Yamamoto","2000-12-16",0,2,0,7.5,7.5,0.5,0.5,3.5,1,11,9,7.5,3,0,0,0,0,0,15,10.5,0.505,0.5,0,0,0,24.5,18.5,2,0,1,0.5,1,0.5,2,0.5,33,15,34,15,0,1,0.5,0,0,36,16,0.485,0,1.5,1,0.33,76,52.5,5,727.5,1,0,0,1,0,1,0,2,"Orthodox",182.88,187.317710247572,170,24,0.285714285714286,1,0.818181818181818,0.75,0.5,0.545454545454545,15,0.5,0.4,0.5,1,0,0,"/fighter/Kenichi-Yamamoto-236"
"Kenny Florian","2011-10-08",0,1,0,7.25,5.3125,6.5,4.125,40.4375,12.125,16,9.625,51.75,17.6875,0.0625,3.9375,2.875,2.5,0.0625,62.9375,25.875,0.4525,0.8125,3.875,1.5625,0.445,98.5625,59,6,4,6,3.1875,8.125,4.6875,33.5,7.125,11.25,6.625,42.625,12.6875,0.0625,4.25,2.5625,1.375,0,52.875,18.4375,0.33375,0.375,3.375,1.375,0.3275,73.4375,37.6875,37,609.875,3,0,0,2,2,7,1,12,"Southpaw",177.8,187.96,145,35,0.29984544049459,0.634615384615385,0.6015625,0.787313432835821,0.423076923076923,0.411111111111111,62.9375,0.822244289970208,0.341787439613527,0.11519364448858,0.732758620689655,0.0625620655412115,0.73015873015873,"/fighter/Kenny-Florian-8021"
"Kenny Robertson","2016-09-17",1,0,0,7.625,5.625,11.375,7.625,45.75,21.5,13,8.25,54.875,24.375,0.25,7.625,7.375,1.5,0.125,70.125,37.375,0.53875,0.625,3.75,1,0.39,101.125,62,3,4,9.875,6.875,8.75,6,43.625,16.875,8.375,6.125,48,19.25,0.125,2.875,2.875,0.375,0.125,60.75,29,0.41125,0.25,2.75,1.25,0.3025,84.875,49.375,17,546.625,0,0,0,1,1,2,0,4,"Orthodox",177.8,187.96,170,32,0.469945355191257,0.67032967032967,0.634615384615385,0.613180515759312,0.314285714285714,0.26865671641791,70.125,0.7825311942959,0.444191343963554,0.10873440285205,0.737704918032787,0.10873440285205,0.967213114754098,"/fighter/Kenny-Robertson-31978"
"Ketlen Vieira","2018-03-03",0,3,0,4.666666667,4,11.66666667,9,90.33333333,23,2.333333333,1.666666667,97.66666667,27.66666667,0,2,2,1.666666667,0,104.3333333,33.66666667,0.44,0.666666667,4,2,0.62,140.3333333,63.66666667,3,0,15.33333333,11,16.66666667,12,85.33333333,27.66666667,15,7.333333333,87.66666667,23.66666667,0,14,12.33333333,0.666666667,0,117,47,0.423333333,0,3.666666667,0.333333333,0.066666667,157.6666667,83,8,785.3333333,0,0,1,1,0,1,0,3,"Orthodox",172.72,172.72,135,26,0.254612546134857,0.771428571208163,0.714285714530612,0.675781249948273,0.280000000144,0.511111111133333,104.333333337,0.936102236420776,0.283276450536407,0.0447284345064153,0.857142857081633,0.0191693290728087,1,NA
"Kevin Aguilar","2019-03-30",0,1,0,38,33,18,11,134,62,16,13,124,47,1,6,6,2,0,168,86,0.51,0,1,0,0,186,103,1,0,22,11,15,11,171,63,1,0,149,50,0,16,13,0,0,187,74,0.39,0,4,0,0,190,77,3,900,0,0,0,1,0,0,0,1,"Orthodox",170.18,185.42,145,30,0.462686567164179,0.611111111111111,0.8125,0.631578947368421,0.266666666666667,1,168,0.738095238095238,0.379032258064516,0.226190476190476,0.868421052631579,0.0357142857142857,1,NA
"Kevin Burns","2009-12-12",2,0,0,9.25,7,8,5.25,74.25,26.25,1.75,1.25,62,15.5,0.25,12.75,10.25,0.25,0,84,32.75,0.4425,0.75,0.5,0.25,0.25,117.5,65.5,2,2,19.25,15.25,7,5.25,87.75,37.75,15,6.75,84.25,29.25,0.25,6.25,5.25,1.5,0,109.75,49.75,0.465,0,4.5,2.5,0.54,154,89.75,11,718.25,0,0,0,0,1,1,0,2,"Orthodox",177.8,187.96,170,29,0.353535353535354,0.65625,0.714285714285714,0.56980056980057,0.25,0.55,84,0.738095238095238,0.25,0.110119047619048,0.756756756756757,0.151785714285714,0.803921568627451,"/fighter/Kevin-Burns-20512"
"Kevin Casey","2016-08-27",3,0,0,7.333333333,5.166666667,3,2.666666667,28,11.33333333,12.33333333,10.16666667,31.66666667,15.33333333,0.166666667,4.333333333,3.666666667,0.833333333,0.166666667,43.33333333,24.16666667,0.493333333,0.333333333,2,0.5,0.11,63.83333333,43.5,1,5,13,10.5,16.33333333,11.66666667,29.83333333,10.66666667,11.16666667,7.166666667,41.5,16.16666667,0.333333333,2.833333333,2.833333333,1.166666667,0,57.33333333,29.5,0.461666667,0,1.166666667,0.666666667,0.095,84,53.33333333,13,521,0,0,0,1,0,0,0,1,"Southpaw",180.34,195.58,185,35,0.404761904642857,0.888888889,0.824324324817385,0.642458100406978,0.285714285364431,0.358208955385609,43.333333336,0.730769230801183,0.484210526159557,0.169230769212663,0.704545454622934,0.0999999999861538,0.846153846295858,"/fighter/Kevin-Casey-24121"
"Kevin Ferguson","2010-05-08",0,1,0,4,4,9,4,46,12,11,11,62,23,0,0,0,5,0,66,27,0.4,1,4,4,1,76,36,1,0,0,0,8,1,68,40,3,2,35,11,0,44,32,0,0,79,43,0.54,0,0,0,0,98,61,3,900,0,0,0,1,0,0,0,1,"Orthodox",187.96,192.520979976671,235,36,0.260869565217391,0.444444444444444,1,0.411764705882353,0.875,0.333333333333333,66,0.939393939393939,0.370967741935484,0.0606060606060606,1,0,0,"/fighter/Kevin-Ferguson-22388"
"Kevin Holland","2019-03-30",0,1,0,25.5,19.5,6.5,6,96,56,18.5,15,84,47,0,11.5,10.5,5,0,121,77,0.605,1.5,3.5,2.5,0.415,173,122.5,1,1,23,15,10.5,4.5,88,31.5,55,24,119.5,35.5,0,11,9.5,4,0.5,153.5,60,0.39,0.5,3.5,1.5,0.21,161.5,67,6,872.5,0,0,0,0,0,1,0,1,"Orthodox",190.5,205.74,185,26,0.583333333333333,0.923076923076923,0.810810810810811,0.642045454545455,0.571428571428571,0.563636363636364,121,0.694214876033058,0.55952380952381,0.210743801652893,0.764705882352941,0.0950413223140496,0.91304347826087,NA
"Kevin Jackson","1998-03-13",1,0,0,0.666666667,0.333333333,0.333333333,0,1.666666667,0.666666667,2.333333333,1.666666667,3.333333333,2,0,0.333333333,0,0.666666667,0,4.333333333,2.333333333,0.553333333,0.333333333,1,1,1,5,3,2,1,0,0,0,0,2,0.666666667,0,0,1.666666667,0.666666667,0,0.333333333,0,0,0,2,0.666666667,0.416666667,0.333333333,0,0,0,2,0.666666667,3,49,2,0,0,0,1,1,0,2,"Switch",177.8,182.114440518473,199,29.6899842938263,0.40000000012,0,0.714285714530612,0.6666666665,0,0,4.333333333,0.769230769213018,0.60000000006,0.153846153934911,0.49999999925,0.076923076852071,0,"/fighter/Kevin-Jackson-172"
"Kevin Jordan","2005-11-19",1,0,0,14,11,17,11,16,7,0,0,17,6,0,2,1,0,0,33,18,0.54,0,1,0,0,41,26,0,1,8,8,17,13,19,5,7,2,35,12,1,0,0,1,0,43,20,0.46,1,0,0,0,47,23,1,240,0,0,0,0,0,0,0,0,"Orthodox",190.5,195.122614841221,245,34,0.4375,0.647058823529412,0,0.736842105263158,0.235294117647059,0.714285714285714,33,0.515151515151515,0.352941176470588,0.424242424242424,0.785714285714286,0.0606060606060606,0.5,"/fighter/Kevin-Jordan-4399"
"Kevin Lee","2019-05-18",1,0,0,12.71428571,9.714285714,6.142857143,4.714285714,83.21428571,26,24.28571429,18.35714286,99.71428571,38.14285714,0,1.214285714,1.214285714,3.214285714,0.071428571,113.6428571,49.07142857,0.45,0.785714286,5.714285714,2.5,0.455,140.4285714,72.85714286,5,4,11.5,7.928571429,4.428571429,3.142857143,71.71428571,32.07142857,4.071428571,3.214285714,62.21428571,24.92857143,0.142857143,6.5,5.571428571,0.142857143,0,80.21428571,38.42857143,0.465714286,0.571428571,2.214285714,0.428571429,0.140714286,89.42857143,46.64285714,36,724.8571429,1,0,1,3,1,4,1,10,"Orthodox",175.26,195.58,170,26,0.312446351947422,0.767441860400757,0.755882352925432,0.552788844614708,0.290322580681582,0.210526315776547,113.642857134,0.877435575140668,0.382521489959134,0.111879321152654,0.764044944055296,0.0106851037066782,1,"/fighter/Kevin-Lee-84342"
"Kevin Randleman","2002-01-11",2,0,0,1.5,1.166666667,2.666666667,1.666666667,11.5,3,23.16666667,8.5,35.5,11.83333333,0,0.333333333,0.166666667,1.666666667,0,37.33333333,13.16666667,0.331666667,0.833333333,4.833333333,3.333333333,0.673333333,67.66666667,38,2,3,3.666666667,3.166666667,4.5,3.5,16.33333333,4.5,7.333333333,5,20.66666667,6.5,0.333333333,3.833333333,3.333333333,0.333333333,0,28.16666667,13,0.508333333,0.833333333,0.166666667,0.166666667,0.166666667,74,56.83333333,19,1015.166667,4,0,0,3,0,0,0,3,"Orthodox",177.8,182.114440518473,205,30,0.260869565217391,0.625000000046875,0.366906474767352,0.724489795862141,0.222222222222222,0.318181818150826,37.333333333,0.950892857151347,0.333333333239437,0.0401785714289302,0.777777778,0.00892857141972258,0.5000000015,"/fighter/Kevin-Randleman-162"
"Kevin Rosier","1993-11-12",0,1,0,4,3,9,4,10,4,8,7,23,12,2,0,0,0,0,27,15,0.55,0,0,0,0,53,38,1,0,6,3,19,10,7,0,2,2,19,7,0,3,2,0,0,28,12,0.42,0,0,0,0,29,13,1,260,0,0,0,0,1,0,0,1,"Orthodox",193.04,197.72424970577,275,29.6899842938263,0.4,0.444444444444444,0.875,1,0.473684210526316,0,27,0.851851851851852,0.521739130434783,0.148148148148148,0.75,0,0,"/fighter/Kevin-Rosier-17"
"Kevin Souza","2015-11-07",0,3,0,20,11,7.333333333,4.333333333,96.33333333,40.33333333,0.666666667,0.666666667,83.66666667,34,0.333333333,0.666666667,0.333333333,0,0,104.3333333,45.33333333,0.516666667,0,0,0,0,114.3333333,53,3,0,8.666666667,6,2.333333333,1.333333333,62,23.66666667,6.666666667,5,47.66666667,11.66666667,0,14.66666667,12.33333333,0.666666667,0,71,30,0.366666667,0.333333333,2.333333333,1,0.2,85.33333333,42,6,527.6666667,0,0,1,0,2,0,0,3,"Orthodox",182.88,187.96,145,31,0.418685121087152,0.590909090890496,1,0.61827956983871,0.428571428632653,0.2500000000375,104.333333337,0.801916932911115,0.406374501975842,0.191693290728087,0.55,0.0063897763607978,0.49999999925,NA
