"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","DistanceAtt","CloseAtt","GroundAtt","DistanceDef","CloseDef","GroundDef","HeadAttactPct","HeadAttactAccuracy","BodyAttactPct","BodyAttactAccuracy","LegAttactPct","LegAttactAccuracy","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Kendall Grove",2019-01-19,0,1,0,6.272727273,5.363636364,13.63636364,10.27272727,22.72727273,5.909090909,6.636363636,4.272727273,34.27272727,13.18181818,0.181818182,2.454545455,1.909090909,0.727272727,0.363636364,43,20.45454545,0.414545455,1.545454545,0.454545455,0.363636364,0.363636364,69.27272727,45.72727273,3,4,5.636363636,4.818181818,4.909090909,3.363636364,15.45454545,5.818181818,17,9.818181818,28.63636364,11.54545455,0.181818182,3.090909091,2.636363636,1.454545455,0.363636364,37.36363636,19,0.503636364,0.454545455,5.363636364,2.090909091,0.354545455,50.45454545,30.09090909,21,507.9090909,1,0,2,1,2,2,0,7,"Orthodox",198.12,200.66,185,28,0.2599999999648,0.753333332932444,0.643835616514731,0.623529411665744,0.314814814728052,0.422459893058824,0.797040169106839,0.38461538459294,0.145877378448645,0.85507246378891,0.0570824524445155,0.777777777596708,0.2599999999648,0.753333332932444,0.643835616514731,0.623529411665744,0.314814814728052,0.422459893058824,42.999999998,0.797040169106839,0.38461538459294,0.145877378448645,0.85507246378891,0.0570824524445155,0.777777777596708,"/fighter/Kendall-Grove-10126"
"Kenichi Yamamoto",2017-11-11,0,1,0,14,14,0,0,4,2,22,18,12,6,0,0,0,0,0,26,20,0.76,0,0,0,0,45,36,1,0,1,0,1,0,3,0,5,5,7,5,0,1,0,0,0,9,5,0.55,0,0,0,0,17,12,3,900,0,0,0,1,0,0,0,1,"Orthodox",182.88,187.317710247572,170,23,0.5,0,0.818181818181818,1,1,0,0.461538461538462,0.5,0.538461538461538,1,0,0,0.5,0,0.818181818181818,1,1,0,26,0.461538461538462,0.5,0.538461538461538,1,0,0,"/fighter/Kenichi-Yamamoto-236"
"Kenny Florian",2018-09-15,0,6,0,6.727272727,5.181818182,5.636363636,3.818181818,20.72727273,8.818181818,20.09090909,11.54545455,36.63636364,16.45454545,0,3.090909091,2.545454545,2.909090909,0.090909091,46.45454545,24.18181818,0.525454545,0.909090909,3.090909091,1.727272727,0.516363636,78.54545455,53.81818182,6,2,2.454545455,1.181818182,6.636363636,3.272727273,19.36363636,4.454545455,11.27272727,6.727272727,32.09090909,11.54545455,0,2.727272727,1.727272727,1.545454545,0,37.27272727,14.45454545,0.347272727,0.454545455,3.454545455,1.272727273,0.290909091,55,30.63636364,22,510.2727273,2,0,0,1,2,5,1,9,"Southpaw",177.8,187.96,145,33,0.425438596426477,0.677419354850156,0.57466063373641,0.769953051576517,0.506849315000375,0.403225806331426,0.788649706477556,0.449131513478994,0.14481409000293,0.770270270328524,0.0665362035195139,0.823529411593426,0.425438596426477,0.677419354850156,0.57466063373641,0.769953051576517,0.506849315000375,0.403225806331426,46.454545458,0.788649706477556,0.449131513478994,0.14481409000293,0.770270270328524,0.0665362035195139,0.823529411593426,"/fighter/Kenny-Florian-8021"
"Kenny Robertson",2018-11-30,2,0,0,14,10.5,22,14.5,20,5,1,1,25,6.5,0,4,3.5,0,0,43,20.5,0.455,0,3,0,0,57,33,0,2,7.5,6.5,15.5,11,17,5.5,21,17,40,21,0.5,6,6,1.5,0,53.5,33.5,0.595,0.5,9,4,0.46,93,65,5,614.5,0,0,0,0,0,0,0,0,"Orthodox",177.8,187.96,170,29,0.25,0.659090909090909,1,0.676470588235294,0.290322580645161,0.19047619047619,0.581395348837209,0.26,0.325581395348837,0.75,0.0930232558139535,0.875,0.25,0.659090909090909,1,0.676470588235294,0.290322580645161,0.19047619047619,43,0.581395348837209,0.26,0.325581395348837,0.75,0.0930232558139535,0.875,"/fighter/Kenny-Robertson-31978"
"Ketlen Vieira",2015-01-18,0,2,0,6.5,5.5,10.5,6.5,133.5,34.5,2,1,136.5,33.5,0,3,3,2,0,146,42,0.26,0,5.5,2.5,0.43,188,78,2,0,21.5,15.5,19.5,13.5,123.5,41,3.5,1.5,105.5,23,0,19.5,17.5,0,0,146.5,56,0.385,0,3,0,0,203,106.5,6,900,0,0,1,1,0,0,0,2,"Orthodox",172.72,172.72,135,26,0.258426966292135,0.619047619047619,0.5,0.668016194331984,0.307692307692308,0.571428571428571,0.934931506849315,0.245421245421245,0.0445205479452055,0.846153846153846,0.0205479452054795,1,0.258426966292135,0.619047619047619,0.5,0.668016194331984,0.307692307692308,0.571428571428571,146,0.934931506849315,0.245421245421245,0.0445205479452055,0.846153846153846,0.0205479452054795,1,NA
"Kevin Aguilar",2011-06-04,0,1,0,38,33,18,11,134,62,16,13,124,47,1,6,6,2,0,168,86,0.51,0,1,0,0,186,103,1,0,22,11,15,11,171,63,1,0,149,50,0,16,13,0,0,187,74,0.39,0,4,0,0,190,77,3,900,0,0,0,1,0,0,0,1,"Orthodox",170.18,185.42,145,30,0.462686567164179,0.611111111111111,0.8125,0.631578947368421,0.266666666666667,1,0.738095238095238,0.379032258064516,0.226190476190476,0.868421052631579,0.0357142857142857,1,0.462686567164179,0.611111111111111,0.8125,0.631578947368421,0.266666666666667,1,168,0.738095238095238,0.379032258064516,0.226190476190476,0.868421052631579,0.0357142857142857,1,NA
"Kevin Burns",2018-09-22,0,1,0,1,0,1,1,9,4,3,3,11,7,0,1,1,0,0,13,8,0.61,1,0,0,0,61,55,1,0,1,1,0,0,7,2,23,10,28,10,0,1,1,4,0,30,12,0.4,0,6,2,0.33,57,36,2,530,0,0,0,0,0,1,0,1,"Orthodox",177.8,187.96,170,28,0.444444444444444,1,1,0.714285714285714,0,0.565217391304348,0.846153846153846,0.636363636363636,0.0769230769230769,0,0.0769230769230769,1,0.444444444444444,1,1,0.714285714285714,0,0.565217391304348,13,0.846153846153846,0.636363636363636,0.0769230769230769,0,0.0769230769230769,1,"/fighter/Kevin-Burns-20512"
"Kevin Casey",2017-11-18,3,0,0,7.333333333,5.166666667,3,2.666666667,28,11.33333333,12.33333333,10.16666667,31.66666667,15.33333333,0.166666667,4.333333333,3.666666667,0.833333333,0.166666667,43.33333333,24.16666667,0.493333333,0.333333333,2,0.5,0.11,63.83333333,43.5,1,5,13,10.5,16.33333333,11.66666667,29.83333333,10.66666667,11.16666667,7.166666667,41.5,16.16666667,0.333333333,2.833333333,2.833333333,1.166666667,0,57.33333333,29.5,0.461666667,0,1.166666667,0.666666667,0.095,84,53.33333333,13,521,0,0,0,1,0,0,0,1,"Southpaw",180.34,195.58,185,35,0.404761904642857,0.888888889,0.824324324817385,0.642458100406978,0.285714285364431,0.358208955385609,0.730769230801183,0.484210526159557,0.169230769212663,0.704545454622934,0.0999999999861538,0.846153846295858,0.404761904642857,0.888888889,0.824324324817385,0.642458100406978,0.285714285364431,0.358208955385609,43.333333336,0.730769230801183,0.484210526159557,0.169230769212663,0.704545454622934,0.0999999999861538,0.846153846295858,"/fighter/Kevin-Casey-24121"
"Kevin Holland",2014-02-15,1,0,0,9,6,1,1,39,17,15,13,41,20,0,5,5,2,0,55,31,0.56,1,1,0,0,110,81,0,1,17,14,5,2,44,20,104,47,131,50,0,5,5,8,0,153,69,0.45,1,7,3,0.42,167,81,3,900,0,0,0,0,0,0,0,0,"Orthodox",190.5,205.74,185,26,0.435897435897436,1,0.866666666666667,0.545454545454545,0.6,0.548076923076923,0.745454545454545,0.48780487804878,0.163636363636364,0.666666666666667,0.0909090909090909,1,0.435897435897436,1,0.866666666666667,0.545454545454545,0.6,0.548076923076923,55,0.745454545454545,0.48780487804878,0.163636363636364,0.666666666666667,0.0909090909090909,1,NA
"Kevin Jackson",2018-04-21,0,1,0,1,0,1,0,2,0,3,3,4,3,0,1,0,1,0,6,3,0.5,0,1,1,1,7,4,1,0,0,0,0,0,4,1,0,0,4,1,0,0,0,0,0,4,1,0.25,0,0,0,0,4,1,1,87,0,0,0,0,1,0,0,1,"Switch",177.8,182.114440518473,199,29.6899842938263,0,0,1,0.75,0,0,0.666666666666667,0.75,0.166666666666667,0,0.166666666666667,0,0,0,1,0.75,0,0,6,0.666666666666667,0.75,0.166666666666667,0,0.166666666666667,0,"/fighter/Kevin-Jackson-172"
"Kevin Jordan",2017-11-11,1,0,0,14,11,17,11,16,7,0,0,17,6,0,2,1,0,0,33,18,0.54,0,1,0,0,41,26,0,1,8,8,17,13,19,5,7,2,35,12,1,0,0,1,0,43,20,0.46,1,0,0,0,47,23,1,240,0,0,0,0,0,0,0,0,"Orthodox",190.5,195.122614841221,245,34,0.4375,0.647058823529412,0,0.736842105263158,0.235294117647059,0.714285714285714,0.515151515151515,0.352941176470588,0.424242424242424,0.785714285714286,0.0606060606060606,0.5,0.4375,0.647058823529412,0,0.736842105263158,0.235294117647059,0.714285714285714,33,0.515151515151515,0.352941176470588,0.424242424242424,0.785714285714286,0.0606060606060606,0.5,"/fighter/Kevin-Jordan-4399"
"Kevin Lee",2019-05-18,0,1,0,12.07692308,9.384615385,6.538461538,5,68.61538462,21.76923077,24.46153846,18.23076923,86.84615385,34.92307692,0,0.692307692,0.692307692,3.230769231,0.076923077,99.61538462,45,0.458461538,0.846153846,5.769230769,2.461538462,0.443846154,126.6923077,69.15384615,5,3,10.23076923,7.076923077,4.769230769,3.384615385,59.84615385,26.07692308,4.230769231,3.384615385,52.46153846,20.53846154,0.153846154,6.153846154,5.230769231,0.153846154,0,68.84615385,32.84615385,0.464615385,0.615384615,1.846153846,0.461538462,0.151538462,78.61538462,41.53846154,31,665.2307692,1,0,1,3,1,4,1,10,"Orthodox",175.26,195.58,170,26,0.317264573980901,0.76470588240692,0.745283018883351,0.564267352161679,0.290322580530177,0.199999999952727,0.871814671795385,0.402125774968905,0.121235521258358,0.777070063528135,0.00694980694625661,1,0.317264573980901,0.76470588240692,0.745283018883351,0.564267352161679,0.290322580530177,0.199999999952727,99.615384622,0.871814671795385,0.402125774968905,0.121235521258358,0.777070063528135,0.00694980694625661,1,"/fighter/Kevin-Lee-84342"
"Kevin Randleman",2017-10-21,1,0,0,1.5,0.5,1,0.5,10,2,44,16,53.5,18,0,0,0,4.5,0,55,18.5,0.33,0,5,5,1,95.5,47.5,1,1,4.5,4,2,2,12,5,8.5,6.5,14.5,6,0,3.5,3.5,0,0,22.5,13.5,0.59,1.5,0,0,0,108,97.5,5,1080,1,0,0,1,0,0,0,1,"Orthodox",177.8,182.114440518473,205,28,0.2,0.5,0.363636363636364,0.583333333333333,0,0.235294117647059,0.972727272727273,0.336448598130841,0.0272727272727273,0.333333333333333,0,0,0.2,0.5,0.363636363636364,0.583333333333333,0,0.235294117647059,55,0.972727272727273,0.336448598130841,0.0272727272727273,0.333333333333333,0,0,"/fighter/Kevin-Randleman-162"
"Kevin Rosier",2018-05-12,0,1,0,4,3,9,4,10,4,8,7,23,12,2,0,0,0,0,27,15,0.55,0,0,0,0,53,38,1,0,6,3,19,10,7,0,2,2,19,7,0,3,2,0,0,28,12,0.42,0,0,0,0,29,13,1,260,0,0,0,0,1,0,0,1,"Orthodox",193.04,197.72424970577,275,29.6899842938263,0.4,0.444444444444444,0.875,1,0.473684210526316,0,0.851851851851852,0.521739130434783,0.148148148148148,0.75,0,0,0.4,0.444444444444444,0.875,1,0.473684210526316,0,27,0.851851851851852,0.521739130434783,0.148148148148148,0.75,0,0,"/fighter/Kevin-Rosier-17"
"Kevin Souza",2013-08-03,0,2,0,29,16,11,6.5,141.5,58.5,0.5,0.5,123,49,0,1,0.5,0,0,153,65.5,0.42,0,0,0,0,168,77,2,0,13,9,3.5,2,91,35,10,7.5,70.5,17.5,0,21,18,1,0,104.5,44.5,0.425,0.5,3.5,1.5,0.3,126,62.5,5,746,0,0,1,0,1,0,0,2,"Orthodox",182.88,187.96,145,30,0.413427561837456,0.590909090909091,1,0.615384615384615,0.428571428571429,0.25,0.803921568627451,0.398373983739837,0.189542483660131,0.551724137931034,0.0065359477124183,0.5,0.413427561837456,0.590909090909091,1,0.615384615384615,0.428571428571429,0.25,153,0.803921568627451,0.398373983739837,0.189542483660131,0.551724137931034,0.0065359477124183,0.5,NA
"Khabib Nurmagomedov",2017-12-16,0,6,0,6.666666667,4.666666667,5.166666667,3.5,57,16.5,17.16666667,12.5,68.83333333,24.5,0.333333333,3.833333333,3.333333333,3.5,0,79.33333333,32.5,0.456666667,0.5,12,5.833333333,0.341666667,103.5,53.66666667,6,0,10.33333333,6.333333333,3.666666667,3,59.33333333,16,1,0.666666667,51.83333333,11.66666667,0,1.833333333,1.666666667,0.166666667,0,64,19.66666667,0.3,0,2,0.333333333,0.193333333,79.16666667,32,16,740.5,0,0,0,4,1,1,0,6,"Orthodox",177.8,177.8,155,27,0.289473684210526,0.677419354795005,0.728155339664436,0.730337078636536,0.181818181892562,0.333333333,0.867647058817968,0.355932203407067,0.0840336134531107,0.700000000015,0.048319327728921,0.869565217379962,0.289473684210526,0.677419354795005,0.728155339664436,0.730337078636536,0.181818181892562,0.333333333,79.33333333,0.867647058817968,0.355932203407067,0.0840336134531107,0.700000000015,0.048319327728921,0.869565217379962,"/fighter/Khabib-Nurmagomedov-56035"
"Khalid Taha",2016-11-19,1,0,0,6,3,11,7,41,21,5,4,44,24,0,7,5,0,2,57,32,0.56,0,0,0,0,91,59,0,1,10,5,7,5,32,14,30,26,56,37,0,3,3,6,0,69,45,0.65,0,11,6,0.54,97,67,3,900,0,0,0,0,0,0,0,0,"Orthodox",165.1,175.26,135,27,0.51219512195122,0.636363636363636,0.8,0.5625,0.285714285714286,0.133333333333333,0.771929824561403,0.545454545454545,0.105263157894737,0.5,0.12280701754386,0.714285714285714,0.51219512195122,0.636363636363636,0.8,0.5625,0.285714285714286,0.133333333333333,57,0.771929824561403,0.545454545454545,0.105263157894737,0.5,0.12280701754386,0.714285714285714,NA
"Khalil Rountree Jr.",2017-02-04,0,1,0,1.333333333,1,1.333333333,1.333333333,8,2.666666667,3,2.666666667,11,5.666666667,0.666666667,0,0,0,0,12.33333333,6.666666667,0.643333333,0,0,0,0,32,24.33333333,1,2,2.666666667,2,0,0,9.333333333,4.666666667,8.333333333,7,11.66666667,7.666666667,0,3.333333333,2,2.666666667,0,17.66666667,11.66666667,0.43,0.333333333,5.333333333,2.666666667,0.5,61,44.33333333,5,399.6666667,1,0,0,0,1,0,0,1,"Southpaw",185.42,193.04,205,27,0.333333333375,1,0.888888889,0.499999999946429,0,0.1599999999664,0.891891891915997,0.515151515181818,0.108108108084003,0.7500000001875,0,0,0.333333333375,1,0.888888889,0.499999999946429,0,0.1599999999664,12.333333333,0.891891891915997,0.515151515181818,0.108108108084003,0.7500000001875,0,0,NA
"Kiichi Kunimoto",2014-11-22,0,2,0,0,0,2.5,2.5,13.5,6,0.5,0,12.5,5,0,4,3.5,1.5,0,16.5,8.5,0.51,0.5,3,0.5,0.165,18.5,10.5,2,0,2,2,0.5,0.5,10.5,6,0,0,8.5,4,0,0.5,0.5,0,0,11,6.5,0.65,0.5,0,0,0,14.5,10,2,174.5,0,0,0,0,0,1,0,2,"Orthodox",177.8,180.34,170,33,0.444444444444444,1,0,0.428571428571429,0,0,0.757575757575758,0.4,0,0,0.242424242424242,0.875,0.444444444444444,1,0,0.428571428571429,0,0,16.5,0.757575757575758,0.4,0,0,0.242424242424242,0.875,"/fighter/Kiichi-Kunimoto-21039"
"Kimo Leopoldo",2019-03-16,0,1,0,0.8,0.8,0.8,0.6,7.4,1.6,6.2,4.4,13.2,5.6,0,0.4,0.2,2,0.6,14.4,6.6,0.71,0.6,2,0.8,0.48,22,12.4,1,3,1.2,0.8,4,2.6,10.4,6.4,7.6,4.6,17.2,10.2,0,3.6,2.6,0.8,0.2,22,13.6,0.336,0.6,1,0.2,0.2,64.4,49.4,6,422.2,0,0,0,0,1,1,0,2,"Orthodox",190.5,195.122614841221,235,36,0.216216216216216,0.75,0.709677419354839,0.384615384615385,0.35,0.394736842105263,0.916666666666667,0.424242424242424,0.0555555555555556,1,0.0277777777777778,0.5,0.216216216216216,0.75,0.709677419354839,0.384615384615385,0.35,0.394736842105263,14.4,0.916666666666667,0.424242424242424,0.0555555555555556,1,0.0277777777777778,0.5,"/fighter/Kimo-Leopoldo-43"
"KJ Noons",2018-03-03,0,1,0,41,21.5,0.5,0.5,144,48.5,0,0,92,21.5,0,11.5,6,0,0,144.5,49,0.335,0,0,0,0,152,56.5,1,1,16,10.5,3,2.5,155.5,50.5,17,11,145.5,41,0,14,12.5,2,0,175.5,64,0.38,0,7,2.5,0.355,206,90,6,900,0,0,0,1,0,0,0,1,"Orthodox",177.8,182.88,155,31,0.336805555555556,1,0,0.67524115755627,0.166666666666667,0.352941176470588,0.636678200692042,0.233695652173913,0.283737024221453,0.524390243902439,0.0795847750865052,0.521739130434783,0.336805555555556,1,0,0.67524115755627,0.166666666666667,0.352941176470588,144.5,0.636678200692042,0.233695652173913,0.283737024221453,0.524390243902439,0.0795847750865052,0.521739130434783,NA
"Koji Oishi",2007-04-05,1,0,0,0,0,0,0,2,0,2,1,3,1,0,1,0,2,0,4,1,0.25,0,11,3,0.27,17,13,0,1,11,9,6,4,33,3,6,6,34,4,0,0,0,0,2,45,13,0.28,0,0,0,0,174,138,3,900,0,0,0,0,0,0,0,0,"Orthodox",172.72,176.911170789373,170,28,0,0,0.5,0.909090909090909,0.333333333333333,0,0.75,0.333333333333333,0,0,0.25,0,0,0,0.5,0.909090909090909,0.333333333333333,0,4,0.75,0.333333333333333,0,0,0.25,0,"/fighter/Koji-Oishi-249"
"Konstantin Erokhin",2019-04-13,1,0,0,6,4,7,5,29,12,0,0,28,11,0,2,2,0,0,36,17,0.47,0,0,0,0,43,23,0,1,6,5,6,3,26,10,27,22,47,25,0,6,5,4,0,59,35,0.59,0,13,4,0.3,161,124,3,900,0,0,0,0,0,0,0,0,"Orthodox",180.34,185.42,230,32,0.413793103448276,0.714285714285714,0,0.615384615384615,0.5,0.185185185185185,0.777777777777778,0.392857142857143,0.166666666666667,0.666666666666667,0.0555555555555556,1,0.413793103448276,0.714285714285714,0,0.615384615384615,0.5,0.185185185185185,36,0.777777777777778,0.392857142857143,0.166666666666667,0.666666666666667,0.0555555555555556,1,"/fighter/Konstantin-Erokhin-98151"
"Kris McCray",2015-02-28,1,0,0,11,7,16,9,50,10,0,0,53,11,0,2,1,0,0,66,19,0.28,0,0,0,0,96,49,0,1,6,4,13,6,37,9,9,7,51,16,0,2,2,5,0,59,22,0.37,1,7,5,0.71,84,47,2,521,1,0,0,0,0,0,0,0,"Orthodox",182.88,193.04,170,29,0.2,0.5625,0,0.756756756756757,0.538461538461538,0.222222222222222,0.803030303030303,0.207547169811321,0.166666666666667,0.636363636363636,0.0303030303030303,0.5,0.2,0.5625,0,0.756756756756757,0.538461538461538,0.222222222222222,66,0.803030303030303,0.207547169811321,0.166666666666667,0.636363636363636,0.0303030303030303,0.5,"/fighter/Kris-McCray-39432"
"Krzysztof Jotko",2017-06-03,0,4,0,11.5,9.333333333,15.33333333,13.66666667,53.66666667,16.33333333,6,4.5,56,18.16666667,0.166666667,7.5,7,1.5,0.333333333,75,34.5,0.47,0,2.5,1,0.318333333,121,77,4,1,8.333333333,4.5,5.666666667,4.5,40.66666667,13.5,1,0.833333333,33.5,8.833333333,0,5.5,5.5,1.333333333,0.166666667,47.33333333,18.83333333,0.401666667,0.5,6.333333333,0.666666667,0.113333333,65.5,34.5,15,709.6666667,0,0,1,3,1,0,0,5,"Southpaw",185.42,195.58,185,27,0.304347826005941,0.89130434823724,0.75,0.668032786912456,0.205882352987889,0.166666667,0.746666666666667,0.324404761964286,0.153333333333333,0.811594202869565,0.1,0.933333333333333,0.304347826005941,0.89130434823724,0.75,0.668032786912456,0.205882352987889,0.166666667,75,0.746666666666667,0.324404761964286,0.153333333333333,0.811594202869565,0.1,0.933333333333333,"/fighter/Krzysztof-Jotko-53380"
"Krzysztof Soszynski",2017-12-09,0,2,0,3,2,5,2,21,6,4.5,3,26,8,0,1.5,1,4,0,30.5,11,0.325,1.5,1,1,0.5,43.5,24,2,0,3.5,2.5,8.5,5,13.5,2.5,0,0,16,3,0,2.5,2,0,0,22,7.5,0.35,0,2.5,0.5,0.1,27.5,13,3,370,0,0,0,0,0,2,0,2,"Open Stance",185.42,195.58,205,31,0.285714285714286,0.4,0.666666666666667,0.814814814814815,0.411764705882353,0,0.852459016393443,0.307692307692308,0.0983606557377049,0.666666666666667,0.0491803278688525,0.666666666666667,0.285714285714286,0.4,0.666666666666667,0.814814814814815,0.411764705882353,0,30.5,0.852459016393443,0.307692307692308,0.0983606557377049,0.666666666666667,0.0491803278688525,0.666666666666667,"/fighter/Krzysztof-Soszynski-9178"
"Kuniyoshi Hironaka",2018-06-09,0,1,0,3.5,3,3,2,14.5,3.5,13.5,9.5,26,11,0,1.5,1,5,0,31,15,0.4,1.5,7,2.5,0.205,84.5,66,1,1,4.5,2.5,6,2,29.5,9.5,21,14,48,20,0,4,3,0.5,0.5,56.5,25.5,0.38,0,3,2.5,0.415,142,105,6,900,0,0,0,1,0,0,0,1,"Orthodox",177.8,177.8,168,31,0.241379310344828,0.666666666666667,0.703703703703704,0.677966101694915,0.666666666666667,0.333333333333333,0.838709677419355,0.423076923076923,0.112903225806452,0.857142857142857,0.0483870967741935,0.666666666666667,0.241379310344828,0.666666666666667,0.703703703703704,0.677966101694915,0.666666666666667,0.333333333333333,31,0.838709677419355,0.423076923076923,0.112903225806452,0.857142857142857,0.0483870967741935,0.666666666666667,"/fighter/Kuniyoshi-Hironaka-2575"
"Kurt Holobaugh",2012-05-15,1,0,0,20,18,19,16,60,15,13,10,58,13,0,14,10,0,0,92,41,0.44,2,2,1,0.5,196,133,0,1,16,13,32,15,52,22,25,13,92,36,0,1,1,3,0,109,50,0.45,2,4,1,0.25,201,128,3,900,0,0,0,0,0,0,0,0,"Orthodox",180.34,177.8,155,31,0.25,0.842105263157895,0.769230769230769,0.576923076923077,0.53125,0.48,0.630434782608696,0.224137931034483,0.217391304347826,0.9,0.152173913043478,0.714285714285714,0.25,0.842105263157895,0.769230769230769,0.576923076923077,0.53125,0.48,92,0.630434782608696,0.224137931034483,0.217391304347826,0.9,0.152173913043478,0.714285714285714,"/fighter/Kurt-Holobaugh-68751"
"Kurt Pellegrino",2019-05-18,0,3,0,4.555555556,3.444444444,3.666666667,2,28.77777778,9.111111111,16.66666667,11.33333333,43.11111111,17.88888889,0.222222222,1.444444444,1.111111111,3.444444444,0.333333333,49.11111111,22.44444444,0.476666667,0.555555556,3.777777778,2.111111111,0.605555556,81.44444444,51.33333333,3,3,2.777777778,1.888888889,3,2.333333333,29.22222222,7.222222222,9.555555556,6,36.22222222,11.66666667,0.111111111,2.777777778,2,0.111111111,0.444444444,41.77777778,15.55555556,0.358888889,1,2.777777778,0.888888889,0.387777778,71.66666667,42.66666667,20,564.1111111,0,0,0,2,1,3,0,6,"Orthodox",172.72,177.8,155,30,0.316602316574008,0.545454545404959,0.679999999664,0.752851711015426,0.222222222333333,0.372093023285019,0.877828054295879,0.414948453644715,0.0927601810066235,0.756097560804283,0.029411764697498,0.769230769390533,0.316602316574008,0.545454545404959,0.679999999664,0.752851711015426,0.222222222333333,0.372093023285019,49.11111111,0.877828054295879,0.414948453644715,0.0927601810066235,0.756097560804283,0.029411764697498,0.769230769390533,"/fighter/Kurt-Pellegrino-4153"
"Kwan Ho Kwak",2014-06-28,1,0,0,17,11,12,9,116,44,0,0,103,35,0,8,7,0,0,128,53,0.41,0,0,0,0,134,59,0,1,5,3,1,0,53,27,26,22,74,45,0,1,1,3,0,80,49,0.61,0,15,11,0.73,171,127,3,900,0,0,0,0,0,0,0,0,"Switch",165.1,177.8,135,27,0.379310344827586,0.75,0,0.490566037735849,1,0.153846153846154,0.8046875,0.339805825242718,0.1328125,0.647058823529412,0.0625,0.875,0.379310344827586,0.75,0,0.490566037735849,1,0.153846153846154,128,0.8046875,0.339805825242718,0.1328125,0.647058823529412,0.0625,0.875,NA
"Kyle Bochniak",2017-11-18,1,0,0,8,4,9,4,116,46,4,2,109,37,1,12,11,0,0,129,52,0.4,0,5,1,0.2,130,53,0,1,26,13,7,5,225,87,0,0,171,54,0,35,25,0,0,232,92,0.39,0,8,1,0.12,237,95,3,900,0,0,0,0,0,0,0,0,"Orthodox",170.18,177.8,145,29,0.396551724137931,0.444444444444444,0.5,0.613333333333333,0.285714285714286,0,0.844961240310077,0.339449541284404,0.062015503875969,0.5,0.0930232558139535,0.916666666666667,0.396551724137931,0.444444444444444,0.5,0.613333333333333,0.285714285714286,0,129,0.844961240310077,0.339449541284404,0.062015503875969,0.5,0.0930232558139535,0.916666666666667,"/fighter/Kyle-Bochniak-86246"
"Kyle Bradley",2017-12-09,2,0,0,4,3.5,2,2,23.5,7,0,0,21,5,0,0.5,0.5,0,0,25.5,9,0.185,0,0.5,0,0,26.5,10,0,2,0.5,0.5,5,4.5,21,6,9.5,7,34.5,16.5,0.5,0.5,0.5,1.5,0,35.5,17.5,0.56,1,1,0.5,0.25,42.5,24,3,213.5,0,0,0,0,0,0,0,0,"Orthodox",175.26,180.34,155,26,0.297872340425532,1,0,0.714285714285714,0.1,0.263157894736842,0.823529411764706,0.238095238095238,0.156862745098039,0.875,0.0196078431372549,1,0.297872340425532,1,0,0.714285714285714,0.1,0.263157894736842,25.5,0.823529411764706,0.238095238095238,0.156862745098039,0.875,0.0196078431372549,1,"/fighter/Kyle-Bradley-7918"
